,countrySubd,locality,attomId,saleTransDate,proptype,yearbuilt,universalsize,beds,bathstotal,zipcode
125,VA,GREAT FALLS,7634313,2021-07-16,SFR,2004,6658.0,5.0,7.0,22066
126,VA,GREAT FALLS,7634314,2005-06-28,SFR,1978,5470.0,4.0,5.0,22066
127,VA,GREAT FALLS,7834708,2020-07-21,SFR,1979,2643.0,5.0,4.0,22066
128,VA,GREAT FALLS,7841656,2007-08-09,SFR,1981,1647.0,4.0,3.0,22066
129,VA,GREAT FALLS,7866044,2006-06-20,SFR,1981,2080.0,5.0,4.0,22066
130,VA,GREAT FALLS,7868198,2007-07-30,SFR,1978,2708.0,3.0,5.0,22066
131,VA,GREAT FALLS,7949377,2007-08-10,SFR,2009,5311.0,4.0,6.0,22066
132,VA,GREAT FALLS,7982333,2021-05-18,SFR,1973,4642.0,4.0,6.0,22066
133,VA,GREAT FALLS,7985213,2016-08-25,SFR,1977,1694.0,4.0,3.0,22066
134,VA,GREAT FALLS,7985239,2021-05-11,SFR,1977,1868.0,4.0,3.0,22066
135,VA,GREAT FALLS,8011419,2015-05-29,SFR,1990,5130.0,5.0,5.0,22066
136,VA,GREAT FALLS,8036054,2006-08-04,SFR,1998,4446.0,4.0,5.0,22066
137,VA,GREAT FALLS,8089787,2017-07-24,SFR,2000,4907.0,5.0,5.0,22066
138,VA,GREAT FALLS,8089881,2010-09-30,SFR,1925,3595.0,5.0,6.0,22066
139,VA,GREAT FALLS,8144134,2021-03-09,SFR,1969,3012.0,4.0,4.0,22066
140,VA,GREAT FALLS,8190162,2011-08-29,SFR,1980,2742.0,5.0,4.0,22066
141,VA,GREAT FALLS,8290288,2015-08-19,SFR,1984,2828.0,4.0,4.0,22066
142,VA,GREAT FALLS,8297479,2008-05-19,SFR,2001,6328.0,4.0,6.0,22066
143,VA,GREAT FALLS,8318970,2006-04-28,SFR,1977,2432.0,4.0,4.0,22066
144,VA,GREAT FALLS,8318971,2006-04-03,SFR,1978,2696.0,4.0,3.0,22066
145,VA,GREAT FALLS,8318972,2006-03-24,SFR,1976,1964.0,5.0,5.0,22066
146,VA,GREAT FALLS,8318973,2011-06-24,SFR,1966,4287.0,5.0,6.0,22066
147,VA,GREAT FALLS,8318975,2016-11-22,SFR,1966,1396.0,5.0,3.0,22066
148,VA,GREAT FALLS,8318976,2021-09-08,SFR,1993,2635.0,4.0,4.0,22066
149,VA,GREAT FALLS,8318977,2012-12-27,SFR,1955,4040.0,4.0,7.0,22066
150,VA,GREAT FALLS,8318978,2021-01-12,SFR,1976,4186.0,4.0,5.0,22066
151,VA,GREAT FALLS,8318980,2005-08-26,SFR,1961,1120.0,3.0,3.0,22066
152,VA,GREAT FALLS,8323533,2004-12-30,SFR,2007,6401.0,6.0,8.0,22066
153,VA,GREAT FALLS,8326594,2010-01-14,SFR,2002,5344.0,4.0,7.0,22066
154,VA,GREAT FALLS,8356824,2019-11-19,SFR,1995,5472.0,5.0,5.0,22066
155,VA,GREAT FALLS,8375368,2007-04-30,SFR,1976,2166.0,4.0,3.0,22066
156,VA,GREAT FALLS,8525228,2020-10-21,SFR,1982,2352.0,4.0,4.0,22066
157,VA,GREAT FALLS,8591988,2019-11-26,SFR,1995,4300.0,4.0,5.0,22066
158,VA,GREAT FALLS,8693665,2021-09-30,SFR,1985,2101.0,4.0,4.0,22066
